wav_filename,wav_filesize,transcript
Grant.wav,37276,grant
A_Bia.wav,35604,a bia
Oachkatzelschwoaf.wav,54830,oachkatzelschwoaf
niad.wav,58558,niad
Grias_God.wav,43128,grias god
Die_hod_aber_Hoiz_foa_de_Hiddn.wav,68206,die hod aber hoiz foa de hiddn
A_Russ.wav,37276,a russ
Schwammal.wav,35604,schwammal
Pfia_God.wav,36440,pfia god
mia_han_scho_ganga_gwen.wav,82800,mia han scho ganga gwen
Massgruag_schdemma.wav,48980,massgruag schdemma
oichkazzl.wav,66918,oichkazzl
i_glaub_dir_brennt_der_hut.wav,52330,i glaub dir brennt der hut
i_michad.wav,75276,i michad
mia_ming.wav,66918,mia ming
awo.wav,43368,awo
jo_mei.wav,30058,jo mei
Hosd_mi.wav,34768,hosd mi
A_Busserl.wav,43128,a busserl
Gstanzl.wav,42292,gstanzl
A_Kini.wav,39784,a kini
Gmias.wav,33096,gmias
So_a_Hundsgribbe.wav,52324,so a hundsgribbe
Das_is_fai_zfui.wav,53158,das is fai zfui
Das_war_fei_bloas_a_Mongdrazal.wav,81168,das war fei bloas a mongdrazal
Muich.wav,31334,muich
kastl.wav,42676,kastl
bassd_scho.wav,20614,bassd scho
Hawe_di_aere.wav,43128,hawe di aere
Schwoam_mas_Owe.wav,43964,schwoam mas owe
Mogst_a_Wadschn.wav,37276,mogst a wadschn
ja_kruzinesen.wav,69226,ja kruzinesen
Mo.wav,29754,mo
Janka.wav,31426,janka
mia_san_mia.wav,51036,mia san mia
graxln.wav,38948,graxln
So_a_Schmarrn.wav,64026,so a schmarrn
wou_is_des_handy_vom_dominik.wav,91160,wou is des handy vom dominik
Mei_hat_der_a_Wambn.wav,55666,mei hat der a wambn
moidln.wav,51036,moidln
Gamsbaat.wav,42292,gamsbaat
Brezn.wav,22600,brezn
griabig.wav,42292,griabig
I.wav,22230,i
A_Oa.wav,37276,a oa
So_a_Dodschn.wav,39784,so a dodschn
I_krieg_a_Mass.wav,44800,i krieg a mass
dahoam.wav,20824,dahoam
Bring_ma_Lewaknedl_und_an_Lewakas.wav,81580,bring ma lewaknedl und an lewakas
Goass.wav,37276,goass
Lewagnedl_und_an_Leberkas.wav,86596,lewagnedl und an leberkas
So_a_Hogga_bleiba.wav,57338,so a hogga bleiba
A_Diandl.wav,34768,a diandl
Derblecken.wav,33932,derblecken
So_a_Rindviech.wav,58174,so a rindviech
An_Obazdn.wav,38948,an obazdn
Lauta_Zugroaste.wav,76564,lauta zugroaste
So_a_Dusl.wav,39784,so a dusl
A_Biafuizl.wav,46472,a biafuizl
Guadl.wav,31426,guadl
Babba.wav,28918,babba
An_Kas.wav,38112,an kas
host_mi.wav,33898,host mi
Der_hod_aba_Pratzn.wav,58174,der hod aba pratzn
auffe_muss_i_aufn_berg.wav,44478,auffe muss i aufn berg
Fleischpflanzl.wav,43964,fleischpflanzl
gmejs.wav,66918,gmejs
des_is_mir_wurscht.wav,61546,des is mir wurscht
is_da_des_wos.wav,50030,is da des wos
Auszogne.wav,43128,auszogne
der_giabt_dir_an_verweis_wirst_scho_gsehn.wav,78070,der giabt dir an verweis wirst scho gsehn
auffe.wav,43964,auffe
So_a_Gaudi.wav,49816,so a gaudi
du_depp.wav,31086,du depp
Und_Loawe_dazua.wav,43964,und loawe dazua
er_hods_dou_ghabt.wav,91160,er hods dou ghabt
ausse.wav,31426,ausse
wou_isn_in_dominik_sei_handy.wav,91160,wou isn in dominik sei handy
So_a_Massl.wav,43128,so a massl
Na_Seawus.wav,46472,na seawus
i_mog_di.wav,23570,i mog di
du_wenn_i_waarad_daad_i_ejtz_lerna.wav,107042,du wenn i waarad daad i ejtz lerna
A_Deandl.wav,40620,a deandl
Zu_Minga.wav,34768,zu minga
Haxn.wav,35604,haxn
bairisch.csv,4388,bairisch
Kumm_fire.wav,35604,kumm fire
a_so_damisch.wav,48144,a so damisch
gach.wav,35604,gach
an_guudn.wav,26422,an guudn
Gfui.wav,28918,gfui
drampl.wav,51036,drampl
A_Dog.wav,32260,a dog
Jetzt_samma_aba_Miad.wav,61518,jetzt samma aba miad
Ja_mei.wav,53994,ja mei
dankschee.wav,26290,dankschee
du_hast_fai_an_oinser_in_da_schulaufgab.wav,73864,du hast fai an oinser in da schulaufgab
Bock_und_a_Brezn.wav,70714,bock und a brezn
A_Goasnmass.wav,50652,a goasnmass
Gaiweruam.wav,40620,gaiweruam
Mongkrazal.wav,51332,mongkrazal
Mille.wav,28372,mille
zuagroasda.wav,31594,zuagroasda
ja_da_legst_di_nieda.wav,79210,ja da legst di nieda
So_a_Bazi.wav,44800,so a bazi
do_kommt_ma_nid_leicht_auffe.wav,57460,do kommt ma nid leicht auffe
Da_Foznschbangla.wav,50652,da foznschbangla
I_kriag_a_Wammal.wav,45636,i kriag a wammal
mia_khean_zamm.wav,75276,mia khean zamm
graislich.wav,53994,graislich
i_drogad.wav,82800,i drogad
da_doud_ma_sech_schwera.wav,58558,da doud ma sech schwera
bloud.wav,66918,bloud
Des_is_mei_Spezl.wav,50652,des is mei spezl
blede_hena.wav,51036,blede hena
i_kant_di_da_wuzln.wav,75276,i kant di da wuzln
A_Semmel.wav,37276,a semmel
So_a_Preiss.wav,64862,so a preiss
mit_dene_leid_iss_a_greiz.wav,82800,mit dene leid iss a greiz
Geh_Bring_ma_a_Hoiwe.wav,41456,geh bring ma a hoiwe
